,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
1610,Saint-Germain-en-Coglès,11.7,21.9,12.8,10.0,10.3
1611,Saint-Gilles,14.1,22.2,15.7,10.7,10.7
1612,Saint-Grégoire,18.8,26.4,17.5,12.1,11.7
1613,Saint-Jacques-de-la-Lande,12.3,20.4,13.3,10.2,10.6
1614,Saint-Jouan-des-Guérets,13.1,23.7,14.1,10.1,10.6
1615,Saint-Lunaire,14.6,25.9,16.0,10.5,11.0
1616,Saint-Malo,13.2,26.6,13.8,10.0,10.6
1617,Sainte-Marie,12.5,21.4,14.5,10.2,11.0
1618,Saint-Méen-le-Grand,11.6,21.9,13.2,10.0,10.6
1619,Saint-Méloir-des-Ondes,12.2,22.6,13.2,9.9,10.7
1620,Saint-Père,12.6,23.1,13.7,10.3,11.2
1621,Saint-Pierre-de-Plesguen,12.1,21.0,13.8,10.4,10.3
1622,Saint-Thurial,12.7,21.8,13.9,10.5,11.0
1623,Sens-de-Bretagne,12.3,20.9,13.8,10.3,10.7
1624,Servon-sur-Vilaine,13.7,21.7,14.2,10.9,11.1
1625,Sixt-sur-Aff,11.6,22.1,13.5,10.0,10.9
1626,Talensac,13.0,20.9,13.8,10.5,11.3
1627,Thorigné-Fouillard,16.9,24.8,14.1,11.2,11.5
1628,Tinténiac,12.6,21.4,13.7,10.4,10.5
1629,Val-d'Izé,12.0,21.7,13.8,9.9,10.7
1630,Vern-sur-Seiche,15.0,22.8,15.0,11.1,11.4
1631,Vezin-le-Coquet,14.0,23.5,14.0,10.8,10.7
1632,Vitré,13.1,24.4,13.9,10.4,10.6
1633,Pont-Péan,14.4,22.7,14.3,11.1,11.4
1634,Ardentes,12.6,24.6,14.0,10.2,10.9
1635,Argenton-sur-Creuse,11.9,22.2,14.1,9.9,10.3
1636,Le Blanc,11.1,22.9,13.8,9.1,9.7
1637,Buzançais,11.2,22.7,13.3,9.7,9.8
1638,Chabris,11.5,23.2,15.0,9.6,10.4
1639,Châteauroux,12.2,22.1,14.2,10.0,10.3
1640,Châtillon-sur-Indre,10.9,21.0,14.0,9.3,9.7
1641,La Châtre,11.8,23.2,14.1,9.7,10.4
1642,Déols,12.4,21.7,14.2,10.2,10.8
1643,Issoudun,12.1,20.7,14.0,10.0,10.9
1644,Levroux,11.2,21.3,13.7,9.9,10.4
1645,Le Poinçonnet,13.8,22.9,14.7,10.9,11.3
1646,Reuilly,11.7,19.9,14.3,9.8,10.7
1647,Saint-Maur,13.0,22.8,14.8,10.3,10.7
1648,Valençay,11.3,22.8,13.0,10.2,9.8
1649,Vatan,11.4,19.9,13.5,10.3,10.4
1650,Villedieu-sur-Indre,11.6,21.7,13.5,9.7,10.4
1651,Amboise,13.0,23.8,13.8,10.0,10.8
1652,Artannes-sur-Indre,13.8,23.3,14.7,10.7,11.2
1653,Athée-sur-Cher,13.8,23.7,14.3,10.7,11.8
1654,Auzouer-en-Touraine,12.8,23.0,14.3,10.6,11.3
1655,Azay-le-Rideau,13.6,22.7,15.3,10.4,11.1
1656,Azay-sur-Cher,15.8,27.2,14.8,10.9,12.1
1657,Ballan-Miré,15.5,26.3,15.1,11.1,11.3
1658,Beaumont-en-Véron,16.6,29.3,18.9,10.3,11.0
1659,Bléré,12.8,23.5,13.8,10.3,10.8
1660,Bourgueil,16.8,30.1,18.8,10.3,10.7
1661,Chambray-lès-Tours,13.9,24.5,14.5,10.3,11.0
1662,Chanceaux-sur-Choisille,14.2,23.1,15.2,10.8,11.8
1663,Château-Renault,11.2,22.7,13.9,9.1,10.3
1664,Chinon,14.2,26.7,15.8,9.9,10.6
1665,Chouzé-sur-Loire,13.5,24.2,16.4,9.8,11.3
1666,Cinq-Mars-la-Pile,12.9,23.1,13.8,10.3,10.8
1667,La Croix-en-Touraine,13.2,23.2,14.1,10.1,11.5
1668,Esvres,14.1,23.4,14.7,10.9,10.8
1669,Fondettes,16.7,27.0,15.4,11.3,11.8
1670,Descartes,12.1,23.7,13.7,9.9,11.2
1671,Joué-lès-Tours,12.9,22.8,13.8,10.3,10.8
1672,Langeais,12.5,22.2,13.9,10.2,10.5
1673,Larçay,16.0,25.6,15.0,11.8,11.3
1674,Ligueil,10.5,18.5,13.2,9.7,9.3
1675,Loches,12.0,24.0,13.0,10.0,9.8
1676,Luynes,14.4,24.2,14.4,10.7,11.3
1677,La Membrolle-sur-Choisille,15.6,24.1,15.0,11.2,11.4
1678,Mettray,16.0,26.0,15.7,10.8,12.3
1679,Monnaie,13.7,22.9,14.1,10.6,11.2
1680,Montbazon,15.0,26.1,14.6,10.6,11.4
1681,Montlouis-sur-Loire,14.2,23.3,14.4,10.9,11.3
1682,Monts,14.1,23.0,15.0,11.1,11.3
1683,Nazelles-Négron,12.5,21.1,14.1,10.3,10.9
