,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
29327,La Chapelle-sous-Brancion,6,6,0,0,0,0,0,0,0,0
29328,La Chapelle-sous-Dun,24,18,3,0,1,1,1,0,0,0
29329,La Chapelle-sous-Uchon,10,10,0,0,0,0,0,0,0,0
29330,La Chapelle-Thècle,20,17,3,0,0,0,0,0,0,0
29331,Charbonnat,5,4,1,0,0,0,0,0,0,0
29332,Charbonnières,14,11,2,0,1,0,0,0,0,0
29333,Chardonnay,9,6,3,0,0,0,0,0,0,0
29334,Charette-Varennes,18,12,5,0,1,0,0,0,0,0
29335,La Charmée,18,16,1,0,1,0,0,0,0,0
29336,Charmoy,7,6,1,0,0,0,0,0,0,0
29337,Charnay-lès-Chalon,6,4,2,0,0,0,0,0,0,0
29338,Charnay-lès-Mâcon,487,283,129,30,20,16,9,0,0,0
29339,Charolles,237,130,83,9,8,5,2,0,0,0
29340,Charrecey,11,8,3,0,0,0,0,0,0,0
29341,Chasselas,10,9,1,0,0,0,0,0,0,0
29342,Chassey-le-Camp,19,11,5,1,2,0,0,0,0,0
29343,Chassigny-sous-Dun,27,19,8,0,0,0,0,0,0,0
29344,Chassy,13,12,1,0,0,0,0,0,0,0
29345,Château,12,9,3,0,0,0,0,0,0,0
29346,Châteauneuf,14,12,2,0,0,0,0,0,0,0
29347,Châtel-Moron,4,4,0,0,0,0,0,0,0,0
29348,Châtenay,6,3,3,0,0,0,0,0,0,0
29349,Châtenoy-en-Bresse,68,37,22,5,2,1,0,1,0,0
29350,Châtenoy-le-Royal,349,181,94,30,24,9,8,2,1,0
29351,Chaudenay,32,26,5,0,1,0,0,0,0,0
29352,Chauffailles,312,170,101,16,12,10,2,1,0,0
29353,La Chaux,15,12,2,1,0,0,0,0,0,0
29354,Cheilly-lès-Maranges,27,23,3,1,0,0,0,0,0,0
29355,Chenay-le-Châtel,20,15,3,0,2,0,0,0,0,0
29356,Chenôves,12,11,1,0,0,0,0,0,0,0
29357,Chérizet,4,3,0,0,0,1,0,0,0,0
29358,Chevagny-les-Chevrières,22,15,4,0,2,1,0,0,0,0
29359,Chevagny-sur-Guye,32,30,1,1,0,0,0,0,0,0
29360,Chiddes,7,5,2,0,0,0,0,0,0,0
29361,Chissey-en-Morvan,19,16,3,0,0,0,0,0,0,0
29362,Chissey-lès-Mâcon,19,17,2,0,0,0,0,0,0,0
29363,Ciel,35,22,10,1,0,1,1,0,0,0
29364,Ciry-le-Noble,57,45,9,0,3,0,0,0,0,0
29365,La Clayette,195,118,59,8,5,5,0,0,0,0
29366,Clermain,8,3,5,0,0,0,0,0,0,0
29367,Clessé,48,38,7,2,1,0,0,0,0,0
29368,Clessy,9,8,1,0,0,0,0,0,0,0
29369,Cluny,411,268,110,17,9,4,2,0,1,0
29370,Clux,4,4,0,0,0,0,0,0,0,0
29371,Collonge-en-Charollais,8,7,1,0,0,0,0,0,0,0
29372,Collonge-la-Madeleine,3,2,0,0,0,1,0,0,0,0
29373,Colombier-en-Brionnais,10,9,1,0,0,0,0,0,0,0
29374,La Comelle,13,11,2,0,0,0,0,0,0,0
29375,Condal,22,15,4,0,0,3,0,0,0,0
29376,Cordesse,7,6,0,1,0,0,0,0,0,0
29377,Cormatin,45,31,12,1,1,0,0,0,0,0
29378,Cortambert,15,14,1,0,0,0,0,0,0,0
29379,Cortevaix,8,6,1,1,0,0,0,0,0,0
29380,Coublanc,30,21,5,0,3,0,0,1,0,0
29381,Couches,84,57,16,7,2,2,0,0,0,0
29382,Crêches-sur-Saône,285,141,91,30,16,5,1,0,1,0
29383,Créot,2,1,1,0,0,0,0,0,0,0
29384,Cressy-sur-Somme,8,6,0,1,0,1,0,0,0,0
29385,Le Creusot,1139,635,343,62,49,29,12,4,2,3
29386,Crissey,225,84,54,28,20,26,6,6,1,0
29387,Cronat,35,32,3,0,0,0,0,0,0,0
29388,Cruzille,14,12,0,0,1,0,1,0,0,0
29389,Cuiseaux,102,56,32,5,4,3,1,0,1,0
29390,Cuisery,151,89,32,11,9,4,4,2,0,0
29391,Culles-les-Roches,9,8,1,0,0,0,0,0,0,0
29392,Curbigny,13,7,3,0,3,0,0,0,0,0
29393,Curdin,9,8,1,0,0,0,0,0,0,0
29394,Curgy,25,19,4,1,0,1,0,0,0,0
29395,Curtil-sous-Buffières,6,6,0,0,0,0,0,0,0,0
29396,Curtil-sous-Burnand,8,8,0,0,0,0,0,0,0,0
29397,Cussy-en-Morvan,23,20,3,0,0,0,0,0,0,0
29398,Cuzy,4,4,0,0,0,0,0,0,0,0
29399,Damerey,23,18,5,0,0,0,0,0,0,0
29400,Dampierre-en-Bresse,3,3,0,0,0,0,0,0,0,0
29401,Davayé,38,30,5,2,1,0,0,0,0,0
29402,Demigny,81,50,25,2,1,2,1,0,0,0
29403,Dennevy,14,10,4,0,0,0,0,0,0,0
29404,Dettey,5,4,1,0,0,0,0,0,0,0
29405,Devrouze,8,6,1,0,1,0,0,0,0,0
29406,Dezize-lès-Maranges,11,10,1,0,0,0,0,0,0,0
29407,Diconne,10,7,3,0,0,0,0,0,0,0
29408,Digoin,451,257,134,22,21,10,4,2,1,0
29409,Dommartin-lès-Cuiseaux,39,27,5,4,1,1,1,0,0,0
